Name,Known For
Shah Rukh Khan,Don 2
Aamir Khan,Taare Zameen Par
Hrithik Roshan,Zindagi Na Milegi Dobara
Ranbir Kapoor,Rockstar
Ajay Devgn,Shivaay
Saif Ali Khan,Kal Ho Naa Ho
Akshay Kumar,Hera Pheri
Salman Khan,Sultan
Emraan Hashmi,Once Upon a Time in Mumbaai
John Abraham,Dhoom
Deepika Padukone,Yeh Jawaani Hai Deewani
Priyanka Chopra Jonas,Baywatch
Alia Bhatt,Highway
Aishwarya Rai Bachchan,Jodhaa Akbar
Kareena Kapoor,Jab We Met
Katrina Kaif,Zindagi Na Milegi Dobara
Sonam Kapoor,Neerja
Shraddha Kapoor,Aashiqui 2
Sonakshi Sinha,Holiday
Anushka Sharma,Jab Tak Hai Jaan
Kangana Ranaut,Queen
Parineeti Chopra,Hasee Toh Phasee
Vidya Balan,Kahaani
Jacqueline Fernandez,Aladin
Bipasha Basu,Ajnabee
Kriti Sanon,Mimi
Nargis Fakhri,Spy
Aditi Rao Hydari,Padmaavat
Ileana D'Cruz,Barfi!
Yami Gautam,Kaabil
