Name,Known For
Anushka Shetty,Bãhubali 2: The Conclusion
Kajal Aggarwal,Thuppakki
Samantha Ruth Prabhu,Ye Maaya Chesave
Ileana D'Cruz,Barfi!
Tamannaah Bhatia,Bãhubali: The Beginning
Rakul Preet Singh,Nannaku Prematho
Shruti Haasan,7 Aum Arivu
Pooja Hegde,Ala Vaikunthapurramuloo
Rashmika Mandanna,Pushpa: The Rise - Part 1
Trisha Krishnan,96
Nivetha Thomas,Gentleman
Kiara Advani,Shershaah
Nidhhi Agerwal,Munna Michael
Mehreen Pirzada,Krishna Gaadi Veera Prema Gaadha
Lavanya Tripathi,Bhale Bhale Magadivoy
Asin Thottumkal,Ghajini
Ritu Varma,Pelli Choopulu
Shriya Saran,Drishyam
Keerthy Suresh,Mahanati
Nayanthara,Iru Mugan
Chiranjeevi,Indra
Mahesh Babu,1 - Nenokkadine
Pawan Kalyan,Attarintiki Daredi
N.T. Rama Rao Jr.,Nannaku Prematho
Allu Arjun,Pushpa: The Rise - Part 1
Nagarjuna Akkineni,Shirdi Sai
Prabhas,Bãhubali: The Beginning
Ravi Teja,Khadgam
Venkatesh Daggubati,Ganesh
Nani,Eega
Nikhil Siddharth,Keshava
Rana Daggubati,Bãhubali: The Beginning
Bala Krishna,Humse Na Takrana
Ram Charan,Magadheera
Jagapathi Babu,Nannaku Prematho
Nithiin,Jayam
Naga Chaitanya Akkineni,100% Love
Sharwanand,Malli Malli Idhi Rani Roju
Allari Naresh,Maharshi
Gopichand,Nijam
