Name,Known For
K.P.A.C. Lalitha,Godfather
Urvashi,Soorarai Pottru
Manju Warrier,Asuran
Shobana,Manichitrathazhu
Meera Jasmine,Padam Onnu Oru Vilapam
Sukumari,Vrutham
Miss Kumari,Sri Kalahastiswara Mahatyam
Philomina,Thaniyavartanam
Srividya,Thalapathi
Seema,Thirakil Alppam Samayam
Mohanlal,Dasharatham
Mammootty,Oru Vadakkan Veeragatha
Dileep,Thilakkam
Dulquer Salmaan,Charlie
Prithviraj Sukumaran,Ennu Ninte Moideen
Kunchacko Boban,Anjaam Pathiraa
Nivin Pauly,Premam
Fahadh Faasil,Thondimuthalum Dhriksakshiyum
Jayasurya,Su Su Sudhi Vathmeekam
Suresh Gopi,Kaliyattam
